intent,Question,Entity,Eng answer,Kh answer
greeting,Hello,"Hello,Hi,Hey,Help,ជំរាបសួរ,ជម្រាបសួរ,ជួយផង,សួរមួយ",Hello and welcome! How can I assist you on this fine day?,
,Hi,,Hi there! It's great to see you. What can I do for you today?,
,Hey,,Hey! I’m here to help you with whatever you need. How can I assist?,
,Help,,Greetings! How may I make your experience better today?,
,ជំរាបសួរ,,Welcome to our service! How can I be of assistance to you today?,សួស្តី​និង​សូមស្វាគមន៍! តើខ្ញុំអាចជួយអ្នកនៅថ្ងៃដ៏ល្អនេះដោយរបៀបណា?
,សួស្តី,,Howdy! I’m here to help. What can I do for you today?,សួស្តី! វាល្អណាស់ដែលបានជួបអ្នក។ តើខ្ញុំអាចធ្វើអ្វីសម្រាប់អ្នកថ្ងៃនេះ?
,ជួយផង,,Salutations! How can I make your day a little easier?,សូមស្វាគមន៍មកកាន់វិទ្យាស្ថានបច្ចេកវិទ្យាឌីជីថល! តើខ្ញុំអាចជួយអ្នកដោយរបៀបណានៅថ្ងៃនេះ?
,,,Bonjour! I’m here to assist you. How can I help?,
,,,Hola! Let me know how I can assist you today.,
,,,Ciao! What can I do to help you today?,
,,,Hola! Let me know how I can assist you today.,
,,,Ciao! What can I do to help you today?,
polite,Thankful,"Thankful,Thank you,Thank,Ok,Yes,Good,Well,អរគុណ",,
,Thank you,,"You're welcome! If you need any more help or have further questions, feel free to ask. Have a great day!",សូមអរគុណ!ប្រសិនបើអ្នកត្រូវការជំនួយបន្ថែម ឬមានចម្ងល់បន្ថែម សូមសួរដោយសេរី។ សូម​ឱ្យ​មាន​ថ្ងៃ​ល្អ!
,Thank,,"You're welcome! If there's anything else you need, just let me know. I'm here to help!","សូមអរគុណ!ប្រសិនបើមានអ្វីផ្សេងទៀតដែលអ្នកត្រូវការ, គ្រាន់តែប្រាប់ខ្ញុំដឹង។ ខ្ញុំនៅទីនេះដើម្បីជួយ!"
,Ok,,,
,Yes,,,
,Good,,,
,Well,,,
,បាទ!សូមអរគុណ,,,
,ចា!សូមអរគុណ,,,
,សូមអរគុណ,,,
askForContact,How can I reach you by phone?,"Phone,contact,number,information,phone, info,ទូរស័ព្ទ,ទំនាក់ទំនង,លេខ,ព័ត៌មាន,ទាក់ទង","tel: +855 15 335 877, telegram: https://t.me/CADT_AA, facebook page: https://www.facebook.com/IDT.Academy","tel: +855 15 335 877, telegram: https://t.me/CADT_AA, facebook page: https://www.facebook.com/IDT.Academy"
,Could you provide your contact details?,,,
,What’s your direct contact number?,,,
,Can I get your phone number?,,,
,How can I get in touch with you?,,,
,Could you share your contact information?,,,
,What's the best way to contact you?,,,
,May I have your phone number?,,,
,How do I contact you directly?,,,
,Can you give me your phone number or contact info?,,,
,តើខ្ញុំអាចទាក់ទងអ្នកតាមទូរស័ព្ទដោយរបៀបណា?,,,
,តើអ្នកអាចផ្តល់ព័ត៌មានលម្អិតទំនាក់ទំនងរបស់អ្នកបានទេ?,,,
,តើលេខទំនាក់ទំនងផ្ទាល់របស់អ្នកគឺជាអ្វី?,,,
,តើខ្ញុំអាចយកលេខទូរស័ព្ទរបស់អ្នកបានទេ?,,,
,តើខ្ញុំអាចទាក់ទងអ្នកដោយរបៀបណា?,,,
,តើអ្នកអាចចែករំលែកព័ត៌មានទំនាក់ទំនងរបស់អ្នកបានទេ?,,,
,តើអ្វីជាវិធីល្អបំផុតដើម្បីទាក់ទងអ្នក?,,,
,តើខ្ញុំអាចសុំលេខទូរស័ព្ទរបស់អ្នកបានទេ?,,,
,តើខ្ញុំទាក់ទងអ្នកដោយផ្ទាល់ដោយរបៀបណា?,,,
,តើអ្នកអាចផ្តល់លេខទូរស័ព្ទ ឬព័ត៌មានទំនាក់ទំនងមកខ្ញុំបានទេ?,,,
askForLocation,where is cambodia academy of digital techonogy?,"institute,CADT,IDT,Location,វិទ្យាស្ថាន,បណ្ឌិត្យសភា","Bridge 2, National Road 6A, Sangkat Prek Leap, Khan Chroy Changva, Phnom Penh. Her is link to google map: https://shorturl.at/8qO8h","Bridge 2, National Road 6A, Sangkat Prek Leap, Khan Chroy Changva, Phnom Penh. Her is link to google map: https://shorturl.at/8qO8h"
,Where is IDT?,,,
,Where is CADT?,,,
,Where is the IDT located within the CADT?,,,
,Can you tell me the physical location of the IDT at CADT?,,,
,Is the information about the IDT location readily available online?,,,
,Is the IDT on the main CADT campus?,,,
,Can I find a map of the CADT campus showing the IDT location?,,,
,Does the IDT have a dedicated building within CADT?,,,
,Can I find a map of the CADT campus showing the IDT location?,,,
,Is there a virtual tour available online that includes the IDT building?,,,
,Is there a specific department within CADT close to the IDT?,,,
,Are there any specific features of the IDT building that make it easy to locate?,,,
